institute,model,component,property,value
IPSL,IPSL-CM5A-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/A
IPSL,IPSL-CM5A-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
MRI,MRI-AGCM3.2H,Atmosphere,Scientific Properties > Top Of Atmos Insolation > Orbital Parameters > Reference Date,N/A
NCC,NORESM1-ME,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,N/A
NCC,NORESM1-ME,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/A
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/A
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/A
NCC,NORESM1-M,Ocean,Scientific Properties > Non- Oceanic Water > River Mouth Mixing,N/A
NASA-GISS,GISS-E2-H,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
NASA-GISS,GISS-E2-H,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-H,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
NASA-GISS,GISS-E2-H,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Name,N/A
NASA-GISS,GISS-E2-H,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
NASA-GISS,GISS-E2-H,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,N/A
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-H-CC,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
NASA-GISS,GISS-E2-H-CC,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-H-CC,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
NASA-GISS,GISS-E2-H-CC,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Name,N/A
NASA-GISS,GISS-E2-H-CC,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
NASA-GISS,GISS-E2-H-CC,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,N/A
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/A
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry > Chemistry,Scientific Properties > Carbon Chemistry > Carbon Chem Constants,N/A
NASA-GISS,GISS-E2-R,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
NASA-GISS,GISS-E2-R,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-R,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
NASA-GISS,GISS-E2-R,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Name,N/A
NASA-GISS,GISS-E2-R,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
NASA-GISS,GISS-E2-R,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,N/A
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
IPSL,IPSL-CM5A-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/A
IPSL,IPSL-CM5A-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
NASA-GISS,GISS-E2-R,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,N/A
NASA-GISS,GISS-E2-R-CC,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
NASA-GISS,GISS-E2-R-CC,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-R-CC,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
NASA-GISS,GISS-E2-R-CC,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Name,N/A
NASA-GISS,GISS-E2-R-CC,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
NASA-GISS,GISS-E2-R-CC,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,N/A
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2-R-CC,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/A
NASA-GISS,GISS-E2-R-CC,Ocean Bio-Geo Chemistry > Chemistry,Scientific Properties > Carbon Chemistry > Carbon Chem Constants,N/A
NASA-GISS,GISS-E2CS-H,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
NASA-GISS,GISS-E2CS-H,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2CS-H,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
NASA-GISS,GISS-E2CS-H,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Name,N/A
NASA-GISS,GISS-E2CS-H,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
NASA-GISS,GISS-E2CS-H,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,N/A
IPSL,IPSL-CM5A-MR,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/A
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,N/A
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/A
NASA-GISS,GISS-E2CS-R,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
NASA-GISS,GISS-E2CS-R,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2CS-R,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
NASA-GISS,GISS-E2CS-R,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Name,N/A
NASA-GISS,GISS-E2CS-R,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
NASA-GISS,GISS-E2CS-R,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,N/A
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Min,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lat Max,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Min,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lon Max,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Upper Level,N/A
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/A
NASA-GISS,GISS-E2CS-R,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,N/A
MOHC,HADCM3,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
MOHC,HADCM3,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
MOHC,HADCM3,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Other Convection > Scheme Name,N/A
MOHC,HADCM3,Atmosphere > Convection Cloud Turbulence,Scientific Properties > Microphysics > Scheme Name,N/A
MOHC,HADCM3,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Sub Grid Scale Water Distribution > Function Order,N/A
MOHC,HADCM3,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,N/A
MOHC,HADCM3,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,N/A
MOHC,HADCM3,Atmosphere > Dynamical Core > Advection,Scientific Properties > Tracers > Conserved Quantities,N/A
MOHC,HADCM3,Atmosphere > Dynamical Core > Advection,Scientific Properties > Momentum > Conserved Quantities,N/A
MOHC,HADCM3,Atmosphere > Radiation,Scientific Properties > Cloud Radiative Properties > Ice,N/A
MOHC,HADCM3,Atmosphere > Radiation,Scientific Properties > Cloud Radiative Properties > Liquid,N/A
MOHC,HADCM3,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,N/A
MOHC,HADCM3,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,N/A
MOHC,HADCM3,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,N/A
NCC,NORESM1-ME,Atmosphere > Dynamical Core > Advection,Scientific Properties > Momentum > Conserved Quantities,N/A
MOHC,HADCM3,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,N/A
MOHC,HADCM3,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,N/A
MOHC,HADCM3,Sea Ice > Dynamics,Scientific Properties > Redistribution > Ice Strength Formulation,N/A
MOHC,HADCM3,Sea Ice > Thermodynamics,Scientific Properties > New Ice Formation,N/A
MOHC,HADGEM2-A,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
MOHC,HADGEM2-A,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
MOHC,HADGEM2-A,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,N/A
MOHC,HADGEM2-A,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,N/A
MOHC,HADGEM2-A,Land Ice > Sheet,Scientific Properties > Mass Balance > Downscaling Technique,N/A
MOHC,HADGEM2-CC,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
MOHC,HADGEM2-CC,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
MOHC,HADGEM2-CC,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,N/A
MOHC,HADGEM2-CC,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,N/A
MOHC,HADGEM2-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Reactions,N/A
MOHC,HADGEM2-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,N/A
MOHC,HADGEM2-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,N/A
MOHC,HADGEM2-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,N/A
MOHC,HADGEM2-CC,Land Ice > Glaciers,Scientific Properties > Mass Balance > Downscaling Technique,N/A
MOHC,HADGEM2-CC,Land Ice > Sheet,Scientific Properties > Mass Balance > Downscaling Technique,N/A
MOHC,HADGEM2-CC,Land Ice > Sheet > Dynamics,Scientific Properties > Coupling With Atmosphere,N/A
MOHC,HADGEM2-CC,Land Ice > Shelves,Scientific Properties > Mass Balance > Downscaling Technique,N/A
MOHC,HADGEM2-CC,Land Ice > Shelves > Dynamics,Scientific Properties > Coupling With Ocean,N/A
MOHC,HADGEM2-CC,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/A
MOHC,HADGEM2-ES,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
MOHC,HADGEM2-ES,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
MOHC,HADGEM2-ES,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,N/A
MOHC,HADGEM2-ES,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Reactions,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Reactions,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,N/A
MOHC,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,N/A
MOHC,HADGEM2-ES,Land Ice > Sheet,Scientific Properties > Mass Balance > Downscaling Technique,N/A
MOHC,HADGEM2-ES,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/A
INPE,HADGEM2-ES,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/A
INPE,HADGEM2-ES,Aerosols > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Upper Boundary,N/A
INPE,HADGEM2-ES,Atmosphere > Dynamical Core,Scientific Properties > Heat Treatment At Top,N/A
INPE,HADGEM2-ES,Atmosphere > Dynamical Core,Scientific Properties > Wind Treatment At Top,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Reactions,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Reactions,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,N/A
INPE,HADGEM2-ES,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Steady State Species,N/A
INPE,HADGEM2-ES,Land Ice > Sheet,Scientific Properties > Mass Balance > Downscaling Technique,N/A
INPE,HADGEM2-ES,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/A
MRI,MRI-ESM1,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Discretization > Scheme Order,N/A
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/A
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/A
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/A
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/A
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/A
INPE,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/A
NOAA-GFDL,GFDL-CM3,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-CM3,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-ESM2G,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-ESM2G,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-ESM2M,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-ESM2M,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-HIRAM-C180,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-HIRAM-C180,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-HIRAM-C360,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,N/A - 20 soil layers
NOAA-GFDL,GFDL-HIRAM-C360,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/A - 20 soil layers
MPI-M,MPI-ESM-MR,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/a
